"id","name","price","stock","category","description"
"","Nhuộm tóc dài","800000","-1","","Đinh Mạnh Hùng "
"","Cắt tóc","150000","-1","","Đinh Mạnh Hùng "
"","Làm phồng đỉnh","100000","-1","","Đinh Mạnh Hùng "
"","Cắt uốn thiết kế tóc ngắn","600000","-1","","Đinh Mạnh Hùng "
"","Cắt uốn thiết kế tóc lỡ","700000","-1","","Đinh Mạnh Hùng "
"","Cắt thiết kế tóc dài","800000","-1","","Đinh Mạnh Hùng "
"","Cắt Nhuộm tóc ngắn","600000","-1","","Đinh Mạnh Hùng "
"","Cắt Nhuộm tóc lỡ","700000","-1","","Đinh Mạnh Hùng "
"","Cắt Nhuộm tóc dài","800000","-1","","Đinh Mạnh Hùng "
"","Cắt Duỗi tóc ngắn","600000","-1","","Đinh Mạnh Hùng "
"","Cắt Duỗi tóc lỡ","700000","-1","","Đinh Mạnh Hùng "
"","Cắt Duỗi tóc dài","800000","-1","","Đinh Mạnh Hùng "
"","Cắt uốn thiết kế tóc ngắn","1000000","-1","","Đinh Mạnh Hùng "
"","Cắt uốn thiết kế tóc lỡ","1100000","-1","","Đinh Mạnh Hùng "
"","Cắt uốn thiết kế tóc dài","1200000","-1","","Đinh Mạnh Hùng "
"","Cắt Nhuộm tóc ngắn","1000000","-1","","Đinh Mạnh Hùng "
"","Cắt Nhuộm tóc lỡ","1100000","-1","","Đinh Mạnh Hùng "
"","Cắt Nhuộm tóc dài","1200000","-1","","Đinh Mạnh Hùng "
"","Cắt Duỗi tóc ngắn","1000000","-1","","Đinh Mạnh Hùng "
"","Cắt Duỗi tóc lỡ","1100000","-1","","Đinh Mạnh Hùng "
"","Cắt Duỗi tóc dài","1200000","-1","","Đinh Mạnh Hùng "
"","Uốn phồng chân","300000","-1","","Đinh Mạnh Hùng "
"","Uốn phồng chân full đầu","500000","-1","","Đinh Mạnh Hùng "
"","Phá ngôi mái","200000","-1","","Đinh Mạnh Hùng "
"","Phá ngôi + uốn mái","300000","-1","","Đinh Mạnh Hùng "
"","Tẩy light viền 2 lần + nhuộm màu","800000","-1","","Đinh Mạnh Hùng "
"","Tẩy baby light 2 lần + lên màu","1800000","-1","","Đinh Mạnh Hùng "
"","Tẩy full","1000000","-1","","Đinh Mạnh Hùng "
"","Phục hồi olaplex 1ml","60000","-1","","Đinh Mạnh Hùng "
"","Phục hồi Keratin tóc ngắn","700000","-1","","Đinh Mạnh Hùng "
"","Hấp collagen tươi","500000","-1","","Đinh Mạnh Hùng "